"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","duplicateTrapCoordinateQF"
"FA32FBFAA18C47268D4DB53C6F6BC7C4","D01","HARV","HARV_023","G8","2014-04-28","MAM.HARV.2014.05",6,0
"5254743ED60942DFB7CE98FA66274159","D01","HARV","HARV_023","G4","2014-04-28","MAM.HARV.2014.05",6,0
"9C34FB560F654BFB820981FC7C513515","D01","HARV","HARV_023","G9","2014-04-28","MAM.HARV.2014.05",6,0
"74D06FFD78C04D4E85855611B23D3182","D01","HARV","HARV_023","E5","2014-04-28","MAM.HARV.2014.05",6,0
"C0578B7D178B480C9C3BDAD37ABE472E","D01","HARV","HARV_023","C7","2014-04-28","MAM.HARV.2014.05",6,0
"800A45799A6F4C7AB7494CB99727E81E","D01","HARV","HARV_023","E3","2014-04-28","MAM.HARV.2014.05",6,0
"2E0ABF0115D846B2BC4151E004EBD8A9","D01","HARV","HARV_023","E4","2014-04-28","MAM.HARV.2014.05",6,0
"51E697E669A34B4994DE6EF67733AAA8","D01","HARV","HARV_023","E2","2014-04-28","MAM.HARV.2014.05",6,0
"57DDCB32EC214F6BBCF24AF646D8A515","D01","HARV","HARV_023","C1","2014-04-28","MAM.HARV.2014.05",6,0
"C1BDB105851D48C1AF03C25E757F40EC","D01","HARV","HARV_023","D5","2014-04-28","MAM.HARV.2014.05",6,0
"A6C606CFABB049F7B7B10D0A7B0132C3","D01","HARV","HARV_023","A8","2014-04-28","MAM.HARV.2014.05",6,0
"79B9E1E08811484D928E6C35C41A68B6","D01","HARV","HARV_023","A1","2014-04-28","MAM.HARV.2014.05",6,0
"94FA0639445D478580C3D705444CB834","D01","HARV","HARV_023","A7","2014-04-28","MAM.HARV.2014.05",6,0
"E80A73569A2D4DE28924F1F766A882DB","D01","HARV","HARV_023","A4","2014-04-28","MAM.HARV.2014.05",6,0
"912CAD59652241FDA6FC7D69ADFC99AD","D01","HARV","HARV_023","A5","2014-04-28","MAM.HARV.2014.05",6,0
"F25F42720E74469484A03CC516DD808C","D01","HARV","HARV_023","A9","2014-04-28","MAM.HARV.2014.05",6,0
"9882371DCDAD49BF989F8B667534E6D0","D01","HARV","HARV_023","B5","2014-04-28","MAM.HARV.2014.05",6,0
"3168B80FA4A74C4C9C1BB68225A3BD56","D01","HARV","HARV_023","B8","2014-04-28","MAM.HARV.2014.05",6,0
"EBBFFDDE910344FD9BF40EDF9011D967","D01","HARV","HARV_023","B3","2014-04-28","MAM.HARV.2014.05",6,0
"7278368014F04CB1884A6F644522ED27","D01","HARV","HARV_023","E10","2014-04-28","MAM.HARV.2014.05",6,0
"25A78643EC1443489A00A3A08A1ECFA8","D01","HARV","HARV_023","C10","2014-04-28","MAM.HARV.2014.05",6,0
"6C505F88B7994C13A80D3C3620023D5A","D01","HARV","HARV_023","A3","2014-04-28","MAM.HARV.2014.05",6,0
"8F139672D0464499B0F12400F03A9940","D01","HARV","HARV_023","E1","2014-04-28","MAM.HARV.2014.05",6,0
"429EB27F02294F53B913087DED470E12","D01","HARV","HARV_023","B1","2014-04-28","MAM.HARV.2014.05",6,0
"7F943350ECF84011BA2FA0C58EA95422","D01","HARV","HARV_023","B4","2014-04-28","MAM.HARV.2014.05",6,0
"67955C3B8F5F47D18F83F379DC0E00B4","D01","HARV","HARV_023","C5","2014-04-28","MAM.HARV.2014.05",6,0
"F84B1A2A49FC40FBB1EF5A0016F985E5","D01","HARV","HARV_023","C2","2014-04-28","MAM.HARV.2014.05",6,0
"D3A46BC9003A440E87F64E3C6D2733AA","D01","HARV","HARV_023","B7","2014-04-28","MAM.HARV.2014.05",6,0
"6BE9EC8ACD9A458AA9C6F6D9F1E937DD","D01","HARV","HARV_023","D10","2014-04-28","MAM.HARV.2014.05",6,0
"52308F85DC4B476C960EF5CC66793404","D01","HARV","HARV_023","C3","2014-04-28","MAM.HARV.2014.05",6,0
"43BBB8A52C404B03898AE2038BA71C11","D01","HARV","HARV_023","C4","2014-04-28","MAM.HARV.2014.05",6,0
"CF9BEB075D5B4AE78F909E6180878696","D01","HARV","HARV_023","B9","2014-04-28","MAM.HARV.2014.05",6,0
"751FDE79DDA445CBADB53B479BC4A7C6","D01","HARV","HARV_023","B6","2014-04-28","MAM.HARV.2014.05",6,0
"AC0713E7E05545BE8CD59BF17F343665","D01","HARV","HARV_023","B2","2014-04-28","MAM.HARV.2014.05",6,0
"6C9C99289A5D4C728CDAEE963C229931","D01","HARV","HARV_023","F1","2014-04-28","MAM.HARV.2014.05",6,0
