"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"8EBEC5E59A174889919DB16F7C881C3F","D03","DSNY","DSNY_004","2013-07-16",1,"MAM.DSNY.2013.07",100,2,98,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"00F5C485BBE54CCE908BE5B72BC6D02E","D03","DSNY","DSNY_001","2013-07-16",1,"MAM.DSNY.2013.07",99,2,97,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"F9FFB599FD0C41A48980F258ECDCE013","D03","DSNY","DSNY_009","2013-07-16",1,"MAM.DSNY.2013.07",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"245381F276BA49A5AC0FD2B0C911790B","D03","DSNY","DSNY_004","2013-07-17",2,"MAM.DSNY.2013.07",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"0A4CAC6356294C5F93606B8FE6C98C03","D03","DSNY","DSNY_009","2013-07-17",2,"MAM.DSNY.2013.07",100,11,89,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"5F3AE2DBF3934DFBBBF1687D00D2C479","D03","DSNY","DSNY_001","2013-07-17",2,"MAM.DSNY.2013.07",100,6,94,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"5711D6982F754003A2591CEF8DADBF01","D03","DSNY","DSNY_001","2013-07-18",3,"MAM.DSNY.2013.07",100,1,99,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"AD54E54895E14CCEA3827E2EDBF856C0","D03","DSNY","DSNY_004","2013-07-18",3,"MAM.DSNY.2013.07",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"16FA77C084484E0C926A17717E9D15CD","D03","DSNY","DSNY_009","2013-07-18",3,"MAM.DSNY.2013.07",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"886DF449586146D5BA3E5FE8CC788ED4","D03","DSNY","DSNY_005","2013-07-30",1,"MAM.DSNY.2013.08",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"26503449E6F147538A1CB8B82CA093F4","D03","DSNY","DSNY_016","2013-07-30",1,"MAM.DSNY.2013.08",100,0,100,"NEON.DOC.000481","NEON.DOC.002167","cows in field",0,0
"A9940E7094584B88A130DBD27886799F","D03","DSNY","DSNY_005","2013-07-31",2,"MAM.DSNY.2013.08",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"4C635663394F4E2CBD9808D6848D6B12","D03","DSNY","DSNY_016","2013-07-31",2,"MAM.DSNY.2013.08",100,17,83,"NEON.DOC.000481","NEON.DOC.002167","ENTIRE PLOT IN COW PASTURE, cows and coyotes in field",0,0
"A7428A063EBE48DDA7B7433A7EE1DFA4","D03","DSNY","DSNY_005","2013-08-01",3,"MAM.DSNY.2013.08",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"EAB43FAEF9734A2BBA08C668678C1F48","D03","DSNY","DSNY_016","2013-08-01",3,"MAM.DSNY.2013.08",100,1,99,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"C4AFAB7FD8B2406C925C737994375F1E","D03","DSNY","DSNY_009","2013-09-03",1,"MAM.DSNY.2013.09",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,1
"EB9F1F48FF0448419BE31B4E78731346","D03","DSNY","DSNY_001","2013-09-03",1,"MAM.DSNY.2013.09",100,2,98,"NEON.DOC.000481","NEON.DOC.002167",,0,1
"F8AF8AF00153484795224BBF90BB8F16","D03","DSNY","DSNY_004","2013-09-03",1,"MAM.DSNY.2013.09",99,0,99,"NEON.DOC.000481","NEON.DOC.002167",,0,1
"7BC8ACEF2319415CBCA9EB9892B6575D","D03","DSNY","DSNY_009","2013-09-04",2,"MAM.DSNY.2013.09",100,1,99,"NEON.DOC.000481","NEON.DOC.002167",,0,1
"4B764344018D497A97F463A5FA342655","D03","DSNY","DSNY_001","2013-09-04",2,"MAM.DSNY.2013.09",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,1
"90B3134E93C74EAFA20F093961199A40","D03","DSNY","DSNY_004","2013-09-04",2,"MAM.DSNY.2013.09",100,1,99,"NEON.DOC.000481","NEON.DOC.002167",,0,1
"F508E491BCAD42C896A2B5DA5905B31A","D03","DSNY","DSNY_005","2013-09-25",1,"MAM.DSNY.2013.10",100,4,96,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"010134BBF4A943899C915D7207F290E4","D03","DSNY","DSNY_005","2013-09-26",2,"MAM.DSNY.2013.10",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"4B091552B4A74A57A8DDBFA3E8AD0C83","D03","DSNY","DSNY_005","2013-09-27",3,"MAM.DSNY.2013.10",100,0,100,"NEON.DOC.000481","NEON.DOC.002167",,0,0
"6EA08BBF78D242B7B7AD4399B59882D0","D03","DSNY","DSNY_004","2014-05-06",1,"MAM.DSNY.2014.05",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ","traps not set",1,0
"AB6D855F544544F8AFCBE658FA6E5685","D03","DSNY","DSNY_005","2014-05-06",1,"MAM.DSNY.2014.05",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"A7F0FE4E4A264B3D976E29CABF29B8BD","D03","DSNY","DSNY_009","2014-05-06",1,"MAM.DSNY.2014.05",100,0,100,"NEON.DOC.000481"," Reid, F. 2006.","no captures",0,0
"7015A1AB2C224A309F3450E00DC4F5D6","D03","DSNY","DSNY_016","2014-05-06",1,"MAM.DSNY.2014.05",99,32,67,"NEON.DOC.000481","Reid, F. 2006. ","no captures",0,0
"F04CA4187E6F45B98596AB62F08ADB07","D03","DSNY","DSNY_005","2014-05-07",2,"MAM.DSNY.2014.05",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ","no captures",0,0
"78280BEA38B745A2A96B942250E565D8","D03","DSNY","DSNY_016","2014-05-07",2,"MAM.DSNY.2014.05",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"462DA9174AA147B694795571B8343CF0","D03","DSNY","DSNY_004","2014-05-07",2,"MAM.DSNY.2014.05",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"4A7346E547FF4C7A850BF957F7BEE597","D03","DSNY","DSNY_009","2014-05-08",2,"MAM.DSNY.2014.05",99,3,96,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"2D7E81932A02477B9E49AEB9F6A3A7F8","D03","DSNY","DSNY_016","2014-05-08",3,"MAM.DSNY.2014.05",100,10,90,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"8C79E4DD19594C7B86ED67B9FE703BDF","D03","DSNY","DSNY_004","2014-05-08",3,"MAM.DSNY.2014.05",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"293AB55A2DFA4066ACBCC9A04047D757","D03","DSNY","DSNY_005","2014-05-08",3,"MAM.DSNY.2014.05",100,0,100,"NEON.DOC.000481"," Reid, F. 2006.",,0,0
"04EBAEBE72F348A98A4A5665F48AC7D0","D03","DSNY","DSNY_009","2014-05-09",3,"MAM.DSNY.2014.05",100,5,95,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"28D89926E7F544E5A4B307A2752209DD","D03","DSNY","DSNY_005","2014-06-03",1,"MAM.DSNY.2014.06",100,0,100,"NEON.DOC.000481","Peterson Field ",,0,0
"89EF2EF5893E4E62BFF1FEB3205976D0","D03","DSNY","DSNY_001","2014-06-03",1,"MAM.DSNY.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"A8C7F7FD41C04EACA8873F3065EADACD","D03","DSNY","DSNY_004","2014-06-03",1,"MAM.DSNY.2014.06",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"875FF97828A040FDBDA6389C86BC260A","D03","DSNY","DSNY_009","2014-06-03",1,"MAM.DSNY.2014.06",98,15,83,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"12B1AFE48B1741228298221C70619C3D","D03","DSNY","DSNY_016","2014-06-03",1,"MAM.DSNY.2014.06",96,1,95,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"5E5C5CFF9F1F4509B83DE1D833353163","D03","DSNY","DSNY_004","2014-06-04",2,"MAM.DSNY.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"0C5F5775D2EF4F34A02D58EC59084492","D03","DSNY","DSNY_001","2014-06-04",2,"MAM.DSNY.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"B350D16A8CDA42D1A44D3106B56A0BE7","D03","DSNY","DSNY_005","2014-06-04",2,"MAM.DSNY.2014.06",100,3,97,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"B68EC43D1B484BE8A15BCA505B2757EB","D03","DSNY","DSNY_009","2014-06-04",2,"MAM.DSNY.2014.06",100,11,89,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"CB2CFBE5533F4AD28952797B3EB8AE5F","D03","DSNY","DSNY_016","2014-06-04",2,"MAM.DSNY.2014.06",100,12,88,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"AA90FF8F0595474CAA83F93D03167B56","D03","DSNY","DSNY_004","2014-06-05",3,"MAM.DSNY.2014.06",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"B9306AC2CB084F1CAF9AB524AE548A44","D03","DSNY","DSNY_005","2014-06-05",3,"MAM.DSNY.2014.06",100,3,97,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"65236EE8BA154BE6BECC7228F7F28D16","D03","DSNY","DSNY_009","2014-06-05",3,"MAM.DSNY.2014.06",100,12,88,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"7CA953E8052D44AA8952B6EED29B862D","D03","DSNY","DSNY_001","2014-06-05",3,"MAM.DSNY.2014.06",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"D735F186AC1B4A37A8500A5EFAE70DCF","D03","DSNY","DSNY_016","2014-06-05",3,"MAM.DSNY.2014.06",100,41,59,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"D364AA89F1B243EEA7711EB19ECE45A4","D03","DSNY","DSNY_005","2014-09-16",1,"MAM.DSNY.2014.10",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"54D8575CE209438B9AA14757154EABBA","D03","DSNY","DSNY_001","2014-09-16",1,"MAM.DSNY.2014.10",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"5DD6D2364103420F85E7816A15C00991","D03","DSNY","DSNY_004","2014-09-16",1,"MAM.DSNY.2014.10",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"AE30F066208F44B8963691AE35DECF76","D03","DSNY","DSNY_009","2014-09-16",1,"MAM.DSNY.2014.10",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
