uid,domainID,siteID,plotID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDateTime,collectDateTime,localSetDateTime,localCollectDateTime,identifiedDate,sampleTiming,eventID,nightOrDay,trapHours,subsampleID,scientificName,sex,individualCount,estimatedAbundance,percentCounted,individualIDList,samplingProtocolVersion,identificationReferences,sortingLaboratoryName,idLaboratoryName,trapRecordedBy,sortedBy,identifiedBy,trappingRemarks,sortingRemarks,identificationRemarks,identificationLabRemarks,testingID,archiveID,trapCompromisedQF,sampleCompromisedAtTrapping,sampleCompromisedAtSorting,sampleCompromisedAtIDLab,idqQF,taxonRangeQF,duplicatesInTrappingQF,duplicatesInSortingQF,duplicatesInIdentificationQF
2C59CC5A3B8D4ECE9CBF3579DE22C1F3,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Aedes sp.,F,4,4,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,specimens in poor condition,,,OSBS.2014.14.AEDSPP.F.A,0,No known compromise,No known compromise,"Damaged, analysis affected",-1,0,0,0,0
44956092B8FD488C9E36B5D19CB66CC0,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Culex salinarius,F,145,145,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.CULSAL.F.T,OSBS.2014.14.CULSAL.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
2B161CB465CE44E19EBEEA8739CE5FDB,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Aedes canadensis,F,1,1,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.AEDCAN2.F.T,OSBS.2014.14.AEDCAN2.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
C6FBF67E01DA4FCEBC37520DB5803497,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Aedes hendersoni,F,1,1,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.AEDHEN.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
97DE9842258447ED8D37E2FE4BC62FA9,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Culex restuans,F,1,1,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.CULRES.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
E38E60E6C9BB47C2848CBC7BB9468853,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Aedes mitchellae,F,1,1,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.AEDMIT.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
12528E0384024B46BBFA12019E852111,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Aedes atlanticus,F,2,2,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.AEDATL.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
DA780EDE19174D729D1758D8B72DF6B3,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Coquillettidia perturbans,F,5,5,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.COQPER.F.T,OSBS.2014.14.COQPER.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
35E980447E184B5C96DBA471D9EFDD44,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Anopheles crucians,F,117,117,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.ANOCRU.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
8BD23E9FC38F472F8C1C1B601BDCF722,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Culex nigripalpus,F,12,12,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.CULNIG.F.T,OSBS.2014.14.CULNIG.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
DAED04E0B43744EBB905ACD984F5012D,D03,OSBS,OSBS_057,evergreenForest,29.725194,-81.987658,WGS84,0.9,35.3,1.2,2014-04-08T23:00Z,2014-04-09T13:40Z,20140408.19,20140409.09,9/8/14,field season,OSBS.2014.14,night,14.5,OSBS_057.20140409.0940.S.01,Culex sp.,F,21,21,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.CULSPP3.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
CF99F7CB27A74B7688863C33ADFC0A06,D03,OSBS,OSBS_055,evergreenForest,29.703835,-81.954643,WGS84,0.3,32,0.7,2014-04-08T23:20Z,2014-04-09T14:02Z,20140408.19,20140409.1,9/6/14,field season,OSBS.2014.14,night,14.5,OSBS_055.20140409.1002.S.01,Culex nigripalpus,F,5,5,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,OSBS.2014.14.CULNIG.F.T,OSBS.2014.14.CULNIG.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
275B8B2F2C894AFF85CA3B82B2120BAC,D03,OSBS,OSBS_055,evergreenForest,29.703835,-81.954643,WGS84,0.3,32,0.7,2014-04-08T23:20Z,2014-04-09T14:02Z,20140408.19,20140409.1,9/6/14,field season,OSBS.2014.14,night,14.5,OSBS_055.20140409.1002.S.01,Aedes mitchellae,F,1,1,100,,NEON.DOC.014049vE,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",Colorado Mosquito Control,Colorado Mosquito Control,JPlYyEuagl4=,3Mdlhdfvdu6SJC7geZPRMQ==,M.J. Weissmann,,tech names may not be accurate,,,,OSBS.2014.14.AEDMIT.F.A,0,No known compromise,No known compromise,No known compromise,-1,0,0,0,0
