"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"EF024D9335FE4F6F8EB5AE373FFC9B7C","D10","CPER",40.828134,-104.739432,"WGS84",4596.5,1641.2,9.7,"2014-07-01","2014-07-02","CPER.2014.26.CULINO.F.A","field season","Culiseta inornata","F",5,"Frozen -80C","CPER.2014.26.CULINO.F.A.01",,"CPER.2014.4.Culiseta inornata.Female","NEON.DOC.014049vE",0
"C72D9AC7B83E4C35BBA0B27F8B79A976","D10","CPER",40.830606,-104.743223,"WGS84",4829.2,1644.5,19.8,"2014-07-01","2014-07-02","CPER.2014.26.CULTAR.F.A","field season","Culex tarsalis","F",47,"Frozen -80C","CPER.2014.26.CULTAR.F.A.01",,"CPER.2014.4.Culex tarsalis.Female","NEON.DOC.014049vE",0
"6A315C370D004F4997B5379597843765","D10","CPER",40.832875,-104.731939,"WGS84",4119.8,1642.8,19.8,"2014-07-01","2014-07-02","CPER.2014.26.AEDDOR.F.A","field season","Aedes dorsalis","F",8,"Frozen -80C","CPER.2014.26.AEDDOR.F.A.01",,"CPER.2014.4.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"14C97C42C7DD47EBBFCF5C0A95FF96DB","D10","CPER",40.833511,-104.744818,"WGS84",4895.5,1648.8,14.7,"2014-07-01","2014-07-02","CPER.2014.26.AEDNIG.F.A","field season","Aedes nigromaculis","F",26,"Frozen -80C","CPER.2014.26.AEDNIG.F.A.01",,"CPER.2014.4.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"74D60E3A7F0D4E6BAA89C5D557D64482","D10","CPER",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-07-15","2014-07-16","CPER.2014.28.AEDFLA.F.A","field season","Aedes flavescens","F",1,"Frozen -80C","CPER.2014.28.AEDFLA.F.A.01",,"CPER.2014.5.Aedes flavescens.Female","NEON.DOC.014049vE",0
"724ED73D1653475289800E2E09E9CA8F","D10","CPER",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-07-15","2014-07-16","CPER.2014.28.CULSPP3.F.A","field season","Culex sp.","F",1,"Frozen -80C","CPER.2014.28.CULSPP3.F.A.01",,"CPER.2014.5.Culex spp.Female","NEON.DOC.014049vE",0
"5DE3EF537C4E4429A33909315397203F","D10","CPER",40.829696,-104.753531,"WGS84",5698.5,1648.4,23.7,"2014-07-15","2014-07-16","CPER.2014.28.AEDNIG.F.A","field season","Aedes nigromaculis","F",432,"Frozen -80C","CPER.2014.28.AEDNIG.F.A.01",,"CPER.2014.5.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"54AC96D676CF4F419E67D997093819D6","D10","CPER",40.835930,-104.738469,"WGS84",4712.3,1648.3,23.6,"2014-07-15","2014-07-16","CPER.2014.28.CULTAR.F.A","field season","Culex tarsalis","F",1096,"Frozen -80C","CPER.2014.28.CULTAR.F.A.02",,"CPER.2014.5.Culex tarsalis.Female","NEON.DOC.014049vE",0
"3055FFAF5BCB42708929FF88C13DB3AD","D10","CPER",40.828661,-104.762256,"WGS84",1897.6,1652.7,13.3,"2014-07-15","2014-07-16","CPER.2014.28.AEDVEX.F.A","field season","Aedes vexans","F",7,"Frozen -80C","CPER.2014.28.AEDVEX.F.A.01",,"CPER.2014.5.Aedes vexans.Female","NEON.DOC.014049vE",0
"D5E7EFDB21B14627A874B17CC8475321","D10","CPER",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-07-15","2014-07-16","CPER.2014.28.CULPIP.F.A","field season","Culex pipiens","F",1,"Frozen -80C","CPER.2014.28.CULPIP.F.A.01",,"CPER.2014.5.Culex pipiens.Female","NEON.DOC.014049vE",0
