"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"8B0968C6F1B345BFAAC2FD984888C70A","D08","TALL",32.907042,-87.419695,"WGS84",996.0,113.8,22.2,"2014-05-07","2014-05-08","TALL.2014.18.CULMEL.F.A","field season","Culiseta melanura","F",6,"Frozen -80C","TALL.2014.18.CULMEL.F.A.01",,"TALL.2014.1.Culiseta melanura.Female","NEON.DOC.014049vE",0
"B45C89E617074343B36D0BA3874E6605","D08","TALL",32.907894,-87.416008,"WGS84",1293.7,118.8,27.2,"2014-05-07","2014-05-08","TALL.2014.18.ANOQUA.F.A","field season","Anopheles quadrimaculatus","F",2,"Frozen -80C","TALL.2014.18.ANOQUA.F.A.01",,"TALL.2014.1.Anopheles quadrimaculatus.Female","NEON.DOC.014049vE",0
"C7DA2C9FF10C4C6AA8DC134E2A6B7AF1","D08","TALL",32.934079,-87.411942,"WGS84",4387.5,116.3,39.3,"2014-05-07","2014-05-08","TALL.2014.18.CULSPP3.F.A","field season","Culex sp.","F",3,"Frozen -80C","TALL.2014.18.CULSPP3.F.A.01",,"TALL.2014.1.Culex spp.Female","NEON.DOC.014049vE",0
"F00D88D1C63444849718CA115D0625AE","D08","TALL",32.913267,-87.426338,"WGS84",6881.8,111.2,68.2,"2014-05-07","2014-05-08","TALL.2014.18.AEDCAN2.F.A","field season","Aedes canadensis","F",706,"Frozen -80C","TALL.2014.18.AEDCAN2.F.A.01",,"TALL.2014.1.Aedes canadensis.Female","NEON.DOC.014049vE",0
"43BFD3D6D2EB4F18B848EE46C3D10189","D08","TALL",32.909029,-87.417746,"WGS84",7203.1,115.6,38.6,"2014-05-07","2014-05-08","TALL.2014.18.ANOCRU.F.A","field season","Anopheles crucians","F",183,"Frozen -80C","TALL.2014.18.ANOCRU.F.A.01",,"TALL.2014.1.Anopheles crucians.Female","NEON.DOC.014049vE",0
"98B5D1B913964B32A4CFE5D84C412500","D08","TALL",32.923034,-87.413517,"WGS84",0.2,179.3,0.2,"2014-05-20","2014-05-21","TALL.2014.20.AEDALB.F.A","field season","Aedes albopictus","F",1,"Frozen -80C","TALL.2014.20.AEDALB.F.A.01",,"TALL.2014.2.Aedes albopictus.Female","NEON.DOC.014049vE",0
"7F43CE537CCE416189066ACA75A72C13","D08","TALL",32.907758,-87.450338,"WGS84",0.1,127.0,0.2,"2014-05-20","2014-05-21","TALL.2014.20.AEDTRI.F.A","field season","Aedes trivittatus","F",1,"Frozen -80C","TALL.2014.20.AEDTRI.F.A.01",,"TALL.2014.2.Aedes trivittatus.Female","NEON.DOC.014049vE",0
"B7EBA7ED9C86415BBD048536E30CB091","D08","TALL",32.936852,-87.414133,"WGS84",4258.3,112.2,67.2,"2014-05-20","2014-05-21","TALL.2014.20.ORTSIG.F.A","field season","Orthopodomyia signifera","F",5,"Frozen -80C","TALL.2014.20.ORTSIG.F.A.01",,"TALL.2014.2.Orthopodomyia signifera.Female","NEON.DOC.014049vE",0
"744ADFFF30E24004B40837BF3D07DE33","D08","TALL",32.908355,-87.424296,"WGS84",7372.2,120.5,59.0,"2014-05-20","2014-05-21","TALL.2014.20.COQPER.F.A","field season","Coquillettidia perturbans","F",6,"Frozen -80C","TALL.2014.20.COQPER.F.A.01",,"TALL.2014.2.Coquillettidia perturbans.Female","NEON.DOC.014049vE",0
"53CABC722E2B4415863EDE39C2323215","D08","TALL",32.913423,-87.423408,"WGS84",6805.1,112.5,67.0,"2014-05-20","2014-05-21","TALL.2014.20.AEDCAN2.F.A","field season","Aedes canadensis","F",834,"Frozen -80C","TALL.2014.20.AEDCAN2.F.A.01",,"TALL.2014.2.Aedes canadensis.Female","NEON.DOC.014049vE",0
"056163A2A20F44F8808711CD5ADF81E6","D08","TALL",32.928240,-87.411703,"WGS84",5032.4,112.9,35.9,"2014-05-20","2014-05-21","TALL.2014.20.CULMEL.F.A","field season","Culiseta melanura","F",3,"Frozen -80C","TALL.2014.20.CULMEL.F.A.01",,"TALL.2014.2.Culiseta melanura.Female","NEON.DOC.014049vE",0
