"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","identifiedDate","sampleTiming","eventID","nightOrDay","trapHours","subsampleID","scientificName","sex","individualCount","estimatedAbundance","percentCounted","individualIDList","samplingProtocolVersion","identificationReferences","sortingLaboratoryName","idLaboratoryName","trapRecordedBy","sortedBy","identifiedBy","trappingRemarks","sortingRemarks","identificationRemarks","identificationLabRemarks","testingID","archiveID","trapCompromisedQF","sampleCompromisedAtTrapping","sampleCompromisedAtSorting","sampleCompromisedAtIDLab","idqQF","taxonRangeQF","duplicatesInTrappingQF","duplicatesInSortingQF","duplicatesInIdentificationQF"
"32058930FF58492F808AAF34B26692E8","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-06-04T00:20Z","2014-06-04T12:41Z","20140603.1820","20140604.0641","2014-08-08","field season","CPER.2014.22","night",12.5,"CPER_083.20140604.0641.S.01","Culex tarsalis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.22.CULTAR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"3E37B095DB6C4FBABADB7870D23B1FA2","D10","CPER","CPER_082","grasslandHerbaceous",40.854510,-104.688209,"WGS84",0.1,1640.8,0.1,"2014-06-04T00:48Z","2014-06-04T12:54Z","20140603.1848","20140604.0654","2014-08-08","field season","CPER.2014.22","night",12,"CPER_082.20140604.0654.S.01","Aedes dorsalis","F",3,3,100,"MOS.D10.000947","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"CD5F16635E2C4435A7876447D3D8039C","D10","CPER","CPER_090","grasslandHerbaceous",40.855550,-104.714539,"WGS84",0.1,1661.1,0.1,"2014-06-04T01:00Z","2014-06-04T13:14Z","20140603.1900","20140604.0714","2014-08-08","field season","CPER.2014.22","night",12,"CPER_090.20140604.0714.S.01","Aedes dorsalis","F",2,2,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"3E11F65AB1814309B6E36389E3133DF0","D10","CPER","CPER_090","grasslandHerbaceous",40.855550,-104.714539,"WGS84",0.1,1661.1,0.1,"2014-06-04T01:00Z","2014-06-04T13:14Z","20140603.1900","20140604.0714","2014-08-08","field season","CPER.2014.22","night",12,"CPER_090.20140604.0714.S.01","Culiseta inornata","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.22.CULINO.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"34BA71D248F24FF3AE1A356F67D5254F","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-06-04T01:18Z","2014-06-04T13:31Z","20140603.1918","20140604.0731","2014-08-08","field season","CPER.2014.22","night",12,"CPER_086.20140604.0731.S.01","Aedes nigromaculis","F",1,1,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.22.AEDNIG.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"5A9E9A063C054BEBB3B7840BDE01A108","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-06-04T01:18Z","2014-06-04T13:31Z","20140603.1918","20140604.0731","2014-08-08","field season","CPER.2014.22","night",12,"CPER_086.20140604.0731.S.01","Culex tarsalis","F",1,1,100,"MOS.D10.000980","NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,,"CPER.2014.22.CULTAR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"E354350DEB1C45198EEA2051EDD8115C","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-06-04T01:18Z","2014-06-04T13:31Z","20140603.1918","20140604.0731","2014-08-08","field season","CPER.2014.22","night",12,"CPER_086.20140604.0731.S.01","Aedes dorsalis","F",4,4,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"C2BA8AF6470C425B92321607E997BED1","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-06-04T01:40Z","2014-06-04T13:50Z","20140603.1940","20140604.0750","2014-08-08","field season","CPER.2014.22","night",12,"CPER_084.20140604.0750.S.01","Aedes dorsalis","F",5,5,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"BF628D8E4A7247D4A9A13B12CDC04FC6","D10","CPER","CPER_080","grasslandHerbaceous",40.831098,-104.760543,"WGS84",0.1,1660.4,0.1,"2014-06-04T02:00Z","2014-06-04T14:03Z","20140603.2000","20140604.0803","2014-08-08","field season","CPER.2014.22","night",12,"CPER_080.20140604.0803.S.01","Aedes dorsalis","F",8,8,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
"5756DBBD1E134F73B33AE5DFE421AF4B","D10","CPER","CPER_087","grasslandHerbaceous",40.825683,-104.762650,"WGS84",0.1,1646.6,0.1,"2014-06-04T02:20Z","2014-06-04T14:16Z","20140603.2020","20140604.0816","2014-08-08","field season","CPER.2014.22","night",12,"CPER_087.20140604.0816.S.01","Aedes dorsalis","F",6,6,100,,"NEON.DOC.014049vE","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Colorado Mosquito Control","Colorado Mosquito Control","5cJrGWs5ZbE+2stOtk3fwA==","3Mdlhdfvdu6SJC7geZPRMQ==","M.J. Weissmann",,"tech names may not be accurate",,,"CPER.2014.22.AEDDOR.F.T","CPER.2014.22.AEDDOR.F.A",0,"No known compromise","No known compromise","No known compromise",-1,0,0,0,0
