"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","sampleTiming","eventID","nightOrDay","trapHours","sampleID","targetTaxaPresent","samplingProtocolVersion","trapRecordedBy","trappingRemarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleLostQF","duplicatesInTrappingQF"
"5503BE0445564AF88179D4731D78382C","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-05-20T13:07Z","2014-05-21T00:03Z","20140520.0707","20140520.1803","field season","CPER.2014.20","day",11.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"194E17C141764B99B798C87D441E12D9","D10","CPER","CPER_087","grasslandHerbaceous",40.825683,-104.762650,"WGS84",0.1,1646.6,0.1,"2014-05-20T12:49Z","2014-05-21T00:36Z","20140520.0649","20140520.1836","field season","CPER.2014.20","day",12.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==","catchCupStatus may not be accurate",1,"No known compromise",-1,0
"8A75CBDEE06C46699E80580AAF7BE974","D10","CPER","CPER_080","grasslandHerbaceous",40.831098,-104.760543,"WGS84",0.1,1660.4,0.1,"2014-05-20T13:40Z","2014-05-21T01:08Z","20140520.0740","20140520.1908","field season","CPER.2014.20","day",11.5,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"638A8A2825074365915F92A35A869944","D10","CPER","CPER_089","grasslandHerbaceous",40.812702,-104.763102,"WGS84",0.1,1639.5,0.1,"2014-05-20T12:33Z","2014-05-21T01:25Z","20140520.0633","20140520.1925","field season","CPER.2014.20","day",13.0,"CPER_089.20140520.1925","Y","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==","UNSURE DATA SAMPLE ACTUALLY EXISTS",0,"No known compromise",1,0
"827F02F295A74683B667325886230EEC","D10","CPER","CPER_088","grasslandHerbaceous",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-05-20T12:20Z","2014-05-21T01:36Z","20140520.0620","20140520.1936","field season","CPER.2014.20","day",13.5,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"58F597E847BA4ADCB74259D3E1DB255C","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-05-20T22:37Z","2014-05-21T12:02Z","20140520.1637","20140521.0602","field season","CPER.2014.20","night",13.5,"CPER_078.20140521.0602","Y","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",0,0
"92A762CBACA54DCDB6FBFA66DD49CC83","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-05-20T22:53Z","2014-05-21T12:12Z","20140520.1653","20140521.0612","field season","CPER.2014.20","night",13.5,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"8AEF0919F5284E659FC36580EB83A3A6","D10","CPER","CPER_082","grasslandHerbaceous",40.854510,-104.688209,"WGS84",0.1,1640.8,0.1,"2014-05-20T23:11Z","2014-05-21T12:24Z","20140520.1711","20140521.0624","field season","CPER.2014.20","night",13.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"F499E7DB5E6D481F83E0B7AC74C66133","D10","CPER","CPER_090","grasslandHerbaceous",40.855550,-104.714539,"WGS84",0.1,1661.1,0.1,"2014-05-20T23:30Z","2014-05-21T12:35Z","20140520.1730","20140521.0635","field season","CPER.2014.20","night",13.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==","catchCupStatus may not be accurate",1,"No known compromise",-1,0
"19370F36163C4897B0AF37566B336F69","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-05-20T23:42Z","2014-05-21T12:45Z","20140520.1742","20140521.0645","field season","CPER.2014.20","night",13.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"229191D9A4414103B83ECF4F9FFB3BAB","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-05-21T00:03Z","2014-05-21T13:01Z","20140520.1803","20140521.0701","field season","CPER.2014.20","night",13.0,"CPER_084.20140521.0701","Y","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",0,0
